rg,nome,idade,cidade,doenca
50604663,Gertie,18,Santa Luzia,febre amarela
50605440,Leah,1,Contagem,cancer
50606217,Rae,76,Betim,dengue
50606994,Ledora,17,Santa Luzia,febre amarela
50607771,Arnie,11,Belo Horizonte,cancer
50608548,Steffie,39,Santa Luzia,covid-19
50609325,Teressa,44,Belo Horizonte,covid-19
50610102,Oran,12,Belo Horizonte,covid-19
50610879,Marie,26,Ribeirão das Neves,dengue
50611656,Radford,21,Contagem,pneumonia
50612433,Neely,82,Betim,pneumonia
50613210,Helene,48,Ribeirão das Neves,febre amarela
50613987,Harold,23,Betim,cancer
50614764,Logan,62,Ribeirão das Neves,covid-19
50615541,Carey,41,Contagem,virose
50616318,Monie,27,Santa Luzia,dengue
50617095,Valrie,10,Contagem,virose
50617872,Winnie,56,Ribeirão das Neves,covid-19
50618649,Elmer,54,Betim,febre amarela
50619426,Indiana,55,Betim,virose
50620203,Arvid,78,Ribeirão das Neves,catapora
50620980,Elige,13,Contagem,fibromialgia
50621757,Rosario,7,Ribeirão das Neves,virose
50622534,Kathrine,27,Contagem,virose
50623311,Nelia,66,Contagem,fibromialgia
50624088,Marlin,28,Ribeirão das Neves,artrite
50624865,Fisher,41,Betim,febre amarela
50625642,Titus,19,Belo Horizonte,covid-19
50626419,Almond,21,Ribeirão das Neves,pneumonia
50627196,Frank,95,Contagem,dengue
50627973,Essie,40,Contagem,fibromialgia
50628750,Iola,56,Santa Luzia,catapora
50629527,Charlton,69,Ribeirão das Neves,covid-19
50630304,Garnette,41,Belo Horizonte,dengue
50631081,Opal,84,Santa Luzia,catapora
50631858,Wiley,91,Betim,pneumonia
50632635,Bobbie,40,Ribeirão das Neves,cancer
50633412,Clemence,97,Belo Horizonte,cancer
50634189,Raymond,1,Contagem,virose
50634966,Nealie,80,Betim,artrite
50635743,Sammie,56,Betim,cancer
50636520,Louis,11,Contagem,covid-19
50637297,Emelda,73,Betim,covid-19
50638074,Claud,86,Santa Luzia,dengue
50638851,Maebelle,15,Contagem,covid-19
50639628,Pearley,32,Belo Horizonte,virose
50640405,Howard,59,Santa Luzia,virose
50641182,Patsy,44,Belo Horizonte,artrite
50641959,Sadye,72,Ribeirão das Neves,covid-19
50642736,Dewey,47,Santa Luzia,virose
50643513,Oliver,16,Belo Horizonte,pneumonia
50644290,Vivian,61,Contagem,pneumonia
50645067,Hubbard,63,Betim,covid-19
50645844,Birtha,73,Betim,catapora
50646621,Kittie,74,Ribeirão das Neves,artrite
50647398,Celeste,66,Ribeirão das Neves,febre amarela
50648175,Leon,80,Contagem,pneumonia
50648952,Moe,73,Betim,catapora
50649729,Allene,65,Santa Luzia,dengue
50650506,Leander,74,Contagem,dengue
50651283,Adelaide,93,Santa Luzia,pneumonia
50652060,Cornell,9,Contagem,cancer
50652837,Patsy,61,Betim,dengue
50653614,Elbridge,14,Santa Luzia,gripe
50654391,Myrtice,16,Santa Luzia,febre amarela
50655168,Bethel,76,Ribeirão das Neves,virose
50655945,Hermina,84,Santa Luzia,febre amarela
50656722,Judge,73,Santa Luzia,dengue
50657499,Pansy,35,Contagem,artrite
50658276,Ebba,70,Santa Luzia,virose
50659053,Phillip,83,Contagem,fibromialgia
50659830,Antone,30,Belo Horizonte,covid-19
50660607,Otelia,97,Contagem,virose
50661384,Theron,71,Betim,fibromialgia
50662161,Callie,67,Betim,dengue
50662938,Melanie,24,Ribeirão das Neves,gripe
50663715,Odie,15,Santa Luzia,covid-19
50664492,Rosa,52,Santa Luzia,dengue
50665269,Annie,43,Betim,fibromialgia
50666046,Clark,77,Ribeirão das Neves,catapora
50666823,Dulcie,31,Contagem,artrite
50667600,Dolores,50,Belo Horizonte,catapora
50668377,Rebekah,18,Betim,pneumonia
50669154,Ivory,58,Santa Luzia,pneumonia
50669931,Laura,82,Belo Horizonte,pneumonia
50670708,Ilene,20,Ribeirão das Neves,fibromialgia
50671485,Worth,25,Betim,fibromialgia
50672262,Orland,21,Santa Luzia,gripe
50673039,Jule,89,Contagem,febre amarela
50673816,Carey,62,Belo Horizonte,cancer
50674593,Eileen,67,Contagem,cancer
50675370,Neita,52,Santa Luzia,pneumonia
50676147,Queenie,9,Santa Luzia,catapora
50676924,Parker,11,Belo Horizonte,fibromialgia
50677701,Lavern,33,Betim,catapora
50678478,Johnnie,61,Belo Horizonte,gripe
50679255,Macy,18,Belo Horizonte,fibromialgia
50680032,Rosemarie,55,Betim,covid-19
50680809,Brooks,32,Betim,cancer
50681586,Cornelia,79,Ribeirão das Neves,virose
50682363,Solon,86,Betim,dengue
50683140,Cruz,12,Betim,dengue
50683917,Adah,16,Belo Horizonte,gripe
50684694,Justo,63,Contagem,febre amarela
50685471,Evia,43,Belo Horizonte,artrite
50686248,Edwin,39,Betim,pneumonia
50687025,Odie,73,Ribeirão das Neves,pneumonia
50687802,Bird,97,Belo Horizonte,cancer
50688579,Omega,41,Contagem,febre amarela
50689356,Isham,48,Belo Horizonte,gripe
50690133,Angelina,58,Contagem,artrite
50690910,Aretta,75,Santa Luzia,fibromialgia
50691687,Dorsey,68,Belo Horizonte,febre amarela
50692464,Rosine,58,Betim,catapora
50693241,Lemuel,86,Santa Luzia,gripe
50694018,Kattie,85,Santa Luzia,fibromialgia
50694795,Roswell,61,Belo Horizonte,virose
50695572,Andrew,33,Santa Luzia,covid-19
50696349,Seward,50,Ribeirão das Neves,cancer
50697126,Andy,66,Contagem,virose
50697903,Zadie,61,Contagem,cancer
50698680,Estela,80,Santa Luzia,pneumonia
50699457,Susannah,26,Santa Luzia,artrite
50700234,Ezekiel,34,Contagem,fibromialgia
50701011,Josh,39,Ribeirão das Neves,fibromialgia
50701788,Oneida,73,Contagem,catapora
50702565,Trannie,73,Ribeirão das Neves,catapora
50703342,Louis,76,Betim,fibromialgia
50704119,Sidney,36,Contagem,fibromialgia
50704896,Lowell,3,Ribeirão das Neves,covid-19
50705673,Emmit,18,Belo Horizonte,virose
50706450,Sullivan,27,Ribeirão das Neves,virose
50707227,Alfonso,69,Contagem,covid-19
50708004,Alean,13,Ribeirão das Neves,cancer
50708781,Elva,61,Ribeirão das Neves,covid-19
50709558,Sadye,88,Santa Luzia,catapora
50710335,Nelle,80,Ribeirão das Neves,gripe
50711112,Vena,20,Betim,covid-19
50711889,Rodney,35,Contagem,cancer
50712666,Eddy,1,Betim,virose
50713443,Clara,77,Betim,catapora
50714220,Luddie,44,Santa Luzia,artrite
50714997,Eugene,71,Betim,covid-19
50715774,Veronica,66,Ribeirão das Neves,febre amarela
50716551,Retta,32,Santa Luzia,gripe
50717328,Gene,30,Ribeirão das Neves,catapora
50718105,Bert,69,Santa Luzia,virose
50718882,Elsworth,7,Belo Horizonte,artrite
50719659,Josephine,91,Contagem,pneumonia
50720436,Myrta,7,Santa Luzia,cancer
50721213,Aubrey,21,Contagem,pneumonia
50721990,Pelagia,81,Betim,gripe
50722767,Naoma,30,Contagem,cancer
50723544,Vernon,84,Santa Luzia,artrite
50724321,Lovina,26,Ribeirão das Neves,febre amarela
50725098,Bettie,79,Santa Luzia,virose
50725875,Clarisse,89,Santa Luzia,febre amarela
50726652,India,18,Ribeirão das Neves,artrite
50727429,Zula,9,Santa Luzia,virose
50728206,Michael,17,Santa Luzia,gripe
50728983,Georgia,2,Santa Luzia,dengue
50729760,Dennis,16,Belo Horizonte,pneumonia
50730537,Jeff,63,Santa Luzia,catapora
50731314,Eudora,1,Santa Luzia,pneumonia
50732091,Dock,67,Santa Luzia,catapora
50732868,Aleta,47,Santa Luzia,fibromialgia
50733645,Sammy,54,Belo Horizonte,dengue
50734422,Callie,84,Belo Horizonte,gripe
50735199,Chalmer,11,Betim,gripe
50735976,Laurine,45,Contagem,virose
50736753,Louisiana,50,Santa Luzia,virose
50737530,Janey,21,Betim,pneumonia
50738307,Helen,65,Santa Luzia,virose
50739084,Williams,68,Belo Horizonte,gripe
50739861,Daisey,20,Betim,virose
50740638,Jeane,52,Ribeirão das Neves,pneumonia
50741415,Phill,28,Contagem,artrite
50742192,Dola,56,Betim,pneumonia
50742969,Emmie,82,Belo Horizonte,virose
50743746,Orval,78,Betim,fibromialgia
50744523,Venus,4,Contagem,gripe
50745300,Cannie,35,Belo Horizonte,covid-19
50746077,Hugo,27,Contagem,fibromialgia
50746854,Will,88,Belo Horizonte,fibromialgia
50747631,Henry,92,Belo Horizonte,virose
50748408,Bernadine,65,Belo Horizonte,virose
50749185,Willie,81,Contagem,gripe
50749962,Ozelle,87,Ribeirão das Neves,cancer
50750739,Stacy,84,Santa Luzia,covid-19
50751516,Beth,71,Betim,artrite
50752293,Garland,34,Belo Horizonte,gripe
50753070,Theda,57,Belo Horizonte,virose
50753847,Geo,23,Contagem,fibromialgia
50754624,Oral,76,Belo Horizonte,cancer
50755401,Omer,42,Santa Luzia,dengue
50756178,Otto,7,Contagem,fibromialgia
50756955,Manuel,65,Santa Luzia,virose
50757732,Margarete,29,Betim,fibromialgia
50758509,Julia,90,Belo Horizonte,artrite
50759286,Cesaria,2,Santa Luzia,febre amarela
50760063,Claire,33,Betim,artrite
50760840,Eve,27,Betim,pneumonia
50761617,Bette,15,Contagem,pneumonia
50762394,Leo,85,Belo Horizonte,gripe
50763171,Aleck,88,Ribeirão das Neves,artrite
50763948,Eddie,84,Belo Horizonte,gripe
50764725,Charles,4,Betim,cancer
50765502,Azilee,77,Santa Luzia,catapora
50766279,Maggie,95,Belo Horizonte,cancer
50767056,Onnie,70,Betim,cancer
50767833,Rex,50,Contagem,gripe
50768610,Nella,88,Contagem,gripe
50769387,Thurman,22,Santa Luzia,dengue
50770164,Bryant,64,Betim,febre amarela
50770941,Pernie,30,Betim,pneumonia
50771718,Letitia,2,Contagem,dengue
50772495,Valma,26,Santa Luzia,catapora
50773272,Araminta,2,Belo Horizonte,catapora
50774049,Jose,76,Belo Horizonte,covid-19
50774826,Dean,89,Ribeirão das Neves,catapora
50775603,Dinah,19,Belo Horizonte,pneumonia
50776380,Maxwell,99,Ribeirão das Neves,covid-19
50777157,Arlo,84,Betim,febre amarela
50777934,Lular,2,Santa Luzia,gripe
50778711,Missouri,66,Belo Horizonte,catapora
50779488,Julie,90,Contagem,cancer
50780265,Willie,77,Ribeirão das Neves,artrite
50781042,Annie,57,Santa Luzia,cancer
50781819,Oris,96,Santa Luzia,pneumonia
50782596,Carola,82,Belo Horizonte,gripe
50783373,Jake,3,Belo Horizonte,fibromialgia
50784150,Winnie,94,Betim,gripe
50784927,Simeon,21,Contagem,febre amarela
50785704,Edith,46,Belo Horizonte,virose
50786481,Margaret,39,Belo Horizonte,febre amarela
50787258,Raymon,68,Belo Horizonte,artrite
50788035,Hermina,56,Belo Horizonte,pneumonia
50788812,Edwina,10,Contagem,fibromialgia
50789589,Claudine,35,Ribeirão das Neves,virose
50790366,Claribel,81,Betim,catapora
50791143,Lynn,90,Ribeirão das Neves,catapora
50791920,Ivory,53,Betim,virose
50792697,Wilhelmina,86,Belo Horizonte,fibromialgia
50793474,Melva,10,Belo Horizonte,covid-19
50794251,Leaner,63,Belo Horizonte,febre amarela
50795028,Doris,54,Santa Luzia,dengue
50795805,Art,55,Ribeirão das Neves,cancer
50796582,Dora,35,Ribeirão das Neves,cancer
50797359,Howard,13,Santa Luzia,gripe
50798136,Melinda,30,Ribeirão das Neves,fibromialgia
50798913,Thekla,60,Ribeirão das Neves,pneumonia
50799690,Dante,86,Belo Horizonte,virose
50800467,Elizabeth,55,Contagem,dengue
50801244,Macy,34,Betim,covid-19
50802021,Elnora,89,Contagem,cancer
50802798,Ada,9,Betim,pneumonia
50803575,Victor,95,Betim,fibromialgia
50804352,Evalena,19,Santa Luzia,febre amarela
50805129,Willard,75,Betim,febre amarela
50805906,Worth,82,Contagem,artrite
50806683,Donna,6,Contagem,dengue
50807460,Arnie,19,Santa Luzia,febre amarela
50808237,Katharina,46,Betim,febre amarela
50809014,Zella,89,Betim,covid-19
50809791,Zeta,81,Contagem,catapora
50810568,Signa,94,Ribeirão das Neves,catapora
50811345,Frank,37,Ribeirão das Neves,artrite
50812122,Rama,93,Ribeirão das Neves,cancer
50812899,Providence,54,Betim,dengue
50813676,Golden,29,Santa Luzia,artrite
50814453,Rettie,89,Betim,febre amarela
50815230,Ralph,84,Betim,fibromialgia
50816007,Theron,51,Santa Luzia,febre amarela
50816784,Phoebe,99,Ribeirão das Neves,fibromialgia
50817561,Norval,54,Contagem,gripe
50818338,Mose,66,Contagem,fibromialgia
50819115,Carma,96,Betim,catapora
50819892,Crystal,20,Contagem,febre amarela
50820669,Noma,75,Santa Luzia,gripe
50821446,Donnie,14,Santa Luzia,covid-19
50822223,Felton,5,Contagem,febre amarela
50823000,Lannie,16,Santa Luzia,pneumonia
50823777,Fritz,46,Santa Luzia,dengue
50824554,Sister,92,Ribeirão das Neves,fibromialgia
50825331,Italo,21,Ribeirão das Neves,catapora
50826108,Alicia,88,Ribeirão das Neves,cancer
50826885,Lilly,25,Ribeirão das Neves,dengue
50827662,Exa,66,Ribeirão das Neves,gripe
50828439,Anastasia,20,Ribeirão das Neves,pneumonia
50829216,Everette,12,Ribeirão das Neves,cancer
50829993,Westley,98,Contagem,covid-19
50830770,Israel,68,Contagem,covid-19
50831547,Jerry,19,Betim,catapora
50832324,Gwen,91,Ribeirão das Neves,pneumonia
50833101,Avie,92,Contagem,pneumonia
50833878,Bertrand,26,Santa Luzia,virose
50834655,Gypsy,49,Belo Horizonte,catapora
50835432,Nana,2,Santa Luzia,dengue
50836209,Marcus,98,Ribeirão das Neves,cancer
50836986,Bradley,78,Belo Horizonte,artrite
50837763,Malissie,53,Contagem,febre amarela
50838540,Anthony,42,Betim,dengue
50839317,Esma,53,Belo Horizonte,febre amarela
50840094,Barry,54,Betim,cancer
50840871,Gabriel,4,Santa Luzia,dengue
50841648,Williams,81,Ribeirão das Neves,pneumonia
50842425,Marshall,56,Betim,fibromialgia
50843202,Altha,56,Belo Horizonte,artrite
50843979,Connie,67,Ribeirão das Neves,gripe
50844756,Mae,89,Santa Luzia,cancer
50845533,Beuna,8,Ribeirão das Neves,fibromialgia
50846310,Lanora,34,Contagem,artrite
50847087,Ossie,38,Belo Horizonte,artrite
50847864,Esaw,92,Ribeirão das Neves,cancer
50848641,Iris,31,Contagem,gripe
50849418,Hedwig,25,Santa Luzia,cancer
50850195,Eva,30,Belo Horizonte,gripe
50850972,Sim,41,Contagem,catapora
50851749,Etter,56,Betim,fibromialgia
50852526,Eleonora,9,Contagem,febre amarela
50853303,Milburn,83,Contagem,artrite
50854080,Bernard,1,Ribeirão das Neves,covid-19
50854857,Mahala,86,Betim,gripe
50855634,Robert,7,Ribeirão das Neves,cancer
50856411,Alfa,43,Santa Luzia,covid-19
50857188,Mozel,27,Betim,febre amarela
50857965,Dona,82,Santa Luzia,cancer
50858742,Melvin,98,Santa Luzia,fibromialgia
50859519,Medora,49,Belo Horizonte,dengue
50860296,Orie,45,Ribeirão das Neves,dengue
50861073,Darwin,75,Belo Horizonte,fibromialgia
50861850,Chlora,98,Santa Luzia,cancer
50862627,Hershel,35,Contagem,cancer
50863404,Suzanne,77,Betim,virose
50864181,Louvina,82,Belo Horizonte,gripe
50864958,Maye,89,Betim,febre amarela
50865735,Cornelia,67,Santa Luzia,covid-19
50866512,Letta,84,Ribeirão das Neves,fibromialgia
50867289,Leonor,52,Betim,dengue
50868066,Marquis,18,Santa Luzia,fibromialgia
50868843,Dorsey,20,Santa Luzia,fibromialgia
50869620,Avon,54,Ribeirão das Neves,cancer
50870397,Lavada,45,Ribeirão das Neves,covid-19
50871174,Ollie,70,Contagem,dengue
50871951,Ferne,78,Ribeirão das Neves,artrite
50872728,Thyra,6,Belo Horizonte,pneumonia
50873505,Lemuel,62,Contagem,pneumonia
50874282,Ottilie,14,Betim,dengue
50875059,Bruno,91,Betim,virose
50875836,Humphrey,75,Contagem,pneumonia
50876613,Vina,70,Belo Horizonte,pneumonia
50877390,Wilborn,53,Contagem,covid-19
50878167,Maisie,59,Belo Horizonte,catapora
50878944,Robena,3,Santa Luzia,cancer
50879721,Donna,71,Contagem,fibromialgia
50880498,Hermina,6,Betim,fibromialgia
50881275,Charity,2,Ribeirão das Neves,gripe
50882052,Bartholomew,14,Belo Horizonte,artrite
50882829,Miriam,94,Contagem,fibromialgia
50883606,Brownie,51,Ribeirão das Neves,dengue
50884383,Zettie,13,Belo Horizonte,virose
50885160,Ivah,79,Belo Horizonte,cancer
50885937,Rella,9,Santa Luzia,dengue
50886714,Ellison,87,Betim,pneumonia
50887491,Pearley,78,Contagem,febre amarela
50888268,Orie,47,Betim,dengue
50889045,Gussie,88,Contagem,gripe
50889822,Adrian,86,Betim,pneumonia
50890599,Ora,31,Betim,catapora
50891376,Vicente,7,Ribeirão das Neves,dengue
50892153,Liller,7,Contagem,artrite
50892930,Augustine,27,Santa Luzia,pneumonia
50893707,Laurel,65,Ribeirão das Neves,catapora
50894484,Dona,84,Santa Luzia,gripe
50895261,Tena,60,Belo Horizonte,cancer
50896038,Charlie,2,Ribeirão das Neves,cancer
50896815,Gregorio,72,Ribeirão das Neves,catapora
50897592,Melda,42,Santa Luzia,pneumonia
50898369,Lyla,78,Belo Horizonte,catapora
50899146,Meta,35,Contagem,febre amarela
50899923,Nell,48,Contagem,dengue
50900700,Carry,71,Betim,dengue
50901477,Parthena,94,Santa Luzia,cancer
50902254,Elias,68,Belo Horizonte,pneumonia
50903031,Clemens,68,Contagem,pneumonia
50903808,James,50,Santa Luzia,febre amarela
50904585,Clem,10,Santa Luzia,febre amarela
50905362,Pearlie,99,Belo Horizonte,artrite
50906139,Olinda,42,Belo Horizonte,artrite
50906916,Cleophus,4,Contagem,fibromialgia
50907693,Andrea,90,Belo Horizonte,cancer
50908470,Georgianna,28,Ribeirão das Neves,fibromialgia
50909247,Leslie,69,Contagem,fibromialgia
50910024,Erma,10,Betim,pneumonia
50910801,Verlie,36,Ribeirão das Neves,catapora
50911578,Lorain,14,Contagem,catapora
50912355,Samuel,45,Contagem,febre amarela
50913132,Odell,33,Santa Luzia,dengue
50913909,Iva,14,Contagem,pneumonia
50914686,Dosha,47,Contagem,dengue
50915463,Clint,80,Santa Luzia,cancer
50916240,Burney,77,Santa Luzia,fibromialgia
50917017,Afton,51,Betim,fibromialgia
50917794,Juliet,62,Santa Luzia,covid-19
50918571,Jerry,77,Contagem,dengue
50919348,Jessamine,79,Ribeirão das Neves,fibromialgia
50920125,Winnifred,33,Ribeirão das Neves,artrite
50920902,Lucile,80,Contagem,febre amarela
50921679,Jess,90,Belo Horizonte,dengue
50922456,Kelly,97,Ribeirão das Neves,virose
50923233,Zelda,15,Ribeirão das Neves,virose
50924010,Maxwell,48,Santa Luzia,fibromialgia
50924787,Hildegard,98,Ribeirão das Neves,dengue
50925564,Peggy,34,Contagem,fibromialgia
50926341,Johnny,67,Contagem,cancer
50927118,Domenic,60,Betim,gripe
50927895,Rozelle,50,Betim,cancer
50928672,Sophia,99,Contagem,cancer
50929449,Filomena,18,Contagem,gripe
50930226,Odis,21,Betim,pneumonia
50931003,Marshal,99,Ribeirão das Neves,fibromialgia
50931780,Virgia,76,Betim,catapora
50932557,Sylvania,58,Santa Luzia,catapora
50933334,Giles,63,Betim,virose
50934111,Avis,37,Belo Horizonte,dengue
50934888,Sophronia,76,Santa Luzia,covid-19
50935665,Salvatore,45,Betim,gripe
50936442,Claus,96,Betim,febre amarela
50937219,Emilia,56,Belo Horizonte,febre amarela
50937996,Bula,35,Ribeirão das Neves,covid-19
50938773,Lenard,52,Betim,artrite
50939550,Edw,48,Betim,gripe
50940327,Elmer,58,Belo Horizonte,artrite
50941104,Eudora,24,Belo Horizonte,pneumonia
50941881,Cordia,93,Belo Horizonte,fibromialgia
50942658,Delfina,14,Contagem,gripe
50943435,Garland,85,Contagem,cancer
50944212,Omie,26,Contagem,cancer
50944989,Percival,29,Ribeirão das Neves,dengue
50945766,Sandy,96,Betim,cancer
50946543,Barney,89,Betim,catapora
50947320,Arnie,38,Santa Luzia,fibromialgia
50948097,Doshia,77,Ribeirão das Neves,artrite
50948874,Ezell,18,Santa Luzia,artrite
50949651,Coy,6,Ribeirão das Neves,virose
50950428,Nezzie,25,Belo Horizonte,cancer
50951205,Milan,51,Contagem,gripe
50951982,Stellar,6,Ribeirão das Neves,dengue
50952759,Annie,61,Belo Horizonte,gripe
50953536,Maie,79,Betim,covid-19
50954313,Eular,86,Belo Horizonte,virose
50955090,Booker,43,Betim,covid-19
50955867,Tinnie,55,Contagem,cancer
50956644,Veola,56,Betim,covid-19
50957421,Leva,80,Ribeirão das Neves,virose
50958198,Mearl,41,Contagem,pneumonia
50958975,Viola,22,Santa Luzia,catapora
50959752,Montgomery,55,Betim,cancer
50960529,Byron,65,Contagem,cancer
50961306,Lorenza,96,Belo Horizonte,pneumonia
50962083,Roberto,71,Ribeirão das Neves,artrite
50962860,Adelia,15,Belo Horizonte,artrite
50963637,Alfredo,13,Belo Horizonte,pneumonia
50964414,Orelia,28,Contagem,pneumonia
50965191,Havana,31,Santa Luzia,cancer
50965968,Juana,66,Betim,fibromialgia
50966745,Wilda,97,Contagem,cancer
50967522,Caddie,13,Santa Luzia,covid-19
50968299,Tennessee,20,Belo Horizonte,virose
50969076,Merry,27,Belo Horizonte,covid-19
50969853,Refugia,22,Belo Horizonte,dengue
50970630,Sophronia,57,Contagem,dengue
50971407,Marry,80,Belo Horizonte,febre amarela
50972184,Beryle,47,Contagem,pneumonia
50972961,Refugia,60,Santa Luzia,catapora
50973738,Beaulah,96,Ribeirão das Neves,cancer
50974515,Ethel,47,Contagem,febre amarela
50975292,Ellis,97,Contagem,catapora
50976069,Allan,75,Betim,febre amarela
50976846,Leo,35,Belo Horizonte,gripe
50977623,Lavina,7,Santa Luzia,artrite
50978400,Erwin,76,Ribeirão das Neves,dengue
50979177,Vessie,41,Betim,gripe
50979954,Nora,6,Ribeirão das Neves,covid-19
50980731,Electa,14,Belo Horizonte,febre amarela
50981508,Sing,64,Santa Luzia,cancer
50982285,Maryellen,26,Santa Luzia,cancer
50983062,Irwin,52,Belo Horizonte,febre amarela
50983839,Rosalind,59,Betim,febre amarela
50984616,Love,64,Betim,fibromialgia
50985393,Marcia,28,Belo Horizonte,cancer
50986170,Theresia,27,Belo Horizonte,cancer
50986947,Neal,79,Betim,artrite
50987724,Brady,28,Contagem,fibromialgia
50988501,Estella,58,Contagem,fibromialgia
50989278,Easter,19,Santa Luzia,dengue
50990055,Bartley,18,Contagem,dengue
50990832,Raye,73,Contagem,catapora
50991609,Vira,48,Santa Luzia,fibromialgia
50992386,Permelia,6,Betim,catapora
50993163,Toy,9,Santa Luzia,catapora
50993940,Harry,24,Betim,cancer
50994717,Nada,44,Contagem,dengue
50995494,Andres,84,Ribeirão das Neves,catapora
50996271,Loyd,25,Belo Horizonte,cancer
50997048,Verdie,24,Santa Luzia,dengue
50997825,Gene,79,Santa Luzia,pneumonia
50998602,Victoriano,33,Contagem,dengue
50999379,Henery,8,Betim,artrite
51000156,Freda,93,Betim,covid-19
51000933,Lula,57,Contagem,virose
51001710,Texie,50,Betim,dengue
51002487,Ivory,79,Betim,pneumonia
51003264,Grace,73,Contagem,pneumonia
51004041,Isadore,82,Santa Luzia,dengue
51004818,Levi,72,Betim,gripe
51005595,Ardith,91,Contagem,febre amarela
51006372,Gerhard,80,Contagem,cancer
51007149,Gale,13,Belo Horizonte,dengue
51007926,Henri,45,Betim,dengue
51008703,Finley,24,Contagem,fibromialgia
51009480,Jeannie,59,Betim,gripe
51010257,Laure,17,Ribeirão das Neves,virose
51011034,Jerry,82,Ribeirão das Neves,pneumonia
51011811,Leslie,20,Betim,covid-19
51012588,Louis,89,Contagem,cancer
51013365,Milo,86,Contagem,cancer
51014142,Dexter,22,Santa Luzia,virose
51014919,Ardella,92,Ribeirão das Neves,cancer
51015696,Allison,73,Belo Horizonte,cancer
51016473,Olivia,66,Belo Horizonte,febre amarela
51017250,Dora,34,Ribeirão das Neves,pneumonia
51018027,Antonia,12,Ribeirão das Neves,gripe
51018804,Linton,45,Contagem,gripe
51019581,Queen,97,Santa Luzia,dengue
51020358,Clarinda,55,Santa Luzia,febre amarela
51021135,Marietta,88,Belo Horizonte,artrite
51021912,Webster,84,Betim,gripe
51022689,Auda,12,Santa Luzia,dengue
51023466,Sid,61,Contagem,cancer
51024243,Sudie,85,Belo Horizonte,catapora
51025020,Julianna,35,Belo Horizonte,virose
51025797,Zack,29,Belo Horizonte,dengue
51026574,Florentine,31,Santa Luzia,virose
51027351,Hill,2,Belo Horizonte,covid-19
51028128,Lonnie,90,Betim,catapora
51028905,Sonnie,49,Belo Horizonte,gripe
51029682,Bee,40,Santa Luzia,febre amarela
51030459,Elzina,88,Ribeirão das Neves,covid-19
51031236,Anastasia,14,Belo Horizonte,covid-19
51032013,Nancy,35,Ribeirão das Neves,febre amarela
51032790,Genevive,2,Contagem,gripe
51033567,Hilary,56,Betim,covid-19
51034344,Walter,80,Santa Luzia,gripe
51035121,Nick,44,Belo Horizonte,febre amarela
51035898,Ellen,30,Belo Horizonte,artrite
51036675,Octave,59,Betim,cancer
51037452,Manda,77,Contagem,virose
51038229,Melda,88,Contagem,virose
51039006,Buck,73,Ribeirão das Neves,cancer
51039783,Lettie,5,Betim,artrite
51040560,Seymour,90,Betim,cancer
51041337,Reba,6,Belo Horizonte,pneumonia
51042114,Rufus,56,Ribeirão das Neves,fibromialgia
51042891,Vivienne,86,Santa Luzia,pneumonia
51043668,Jessica,80,Betim,pneumonia
51044445,Avon,24,Betim,virose
51045222,Tessa,88,Contagem,cancer
51045999,Preston,14,Contagem,catapora
51046776,Shelby,8,Ribeirão das Neves,artrite
51047553,Bunk,28,Santa Luzia,pneumonia
51048330,Egbert,76,Belo Horizonte,fibromialgia
51049107,Frankie,83,Belo Horizonte,fibromialgia
51049884,Cary,68,Ribeirão das Neves,dengue
51050661,Mata,27,Ribeirão das Neves,virose
51051438,Jeanne,19,Belo Horizonte,gripe
51052215,Sophie,93,Contagem,catapora
51052992,Carrye,66,Contagem,fibromialgia
51053769,Merle,20,Belo Horizonte,catapora
51054546,Rosalia,49,Belo Horizonte,cancer
51055323,Baxter,37,Contagem,pneumonia
51056100,Vivienne,58,Contagem,gripe
51056877,Nelson,97,Betim,artrite
51057654,Lonzo,77,Santa Luzia,cancer
51058431,Abram,84,Contagem,dengue
51059208,Sophia,43,Ribeirão das Neves,pneumonia
51059985,Maude,29,Contagem,artrite
51060762,Marvin,73,Ribeirão das Neves,catapora
51061539,Pocahontas,75,Santa Luzia,artrite
51062316,Alf,15,Santa Luzia,catapora
51063093,Arrie,78,Santa Luzia,gripe
51063870,Lowry,16,Ribeirão das Neves,cancer
51064647,Sammie,41,Betim,covid-19
51065424,Dexter,63,Betim,catapora
51066201,Randolph,94,Santa Luzia,gripe
51066978,Twila,5,Betim,covid-19
51067755,Michael,68,Belo Horizonte,artrite
51068532,Edris,89,Belo Horizonte,artrite
51069309,Carmela,33,Santa Luzia,cancer
51070086,Madelyn,77,Santa Luzia,gripe
51070863,Alyce,23,Santa Luzia,febre amarela
51071640,Fredonia,68,Ribeirão das Neves,dengue
51072417,Christina,45,Ribeirão das Neves,cancer
51073194,Pecola,11,Contagem,catapora
51073971,Eller,85,Contagem,febre amarela
51074748,Lollie,50,Contagem,artrite
51075525,Elmore,59,Contagem,cancer
51076302,Jeffie,86,Contagem,febre amarela
51077079,Kattie,52,Belo Horizonte,gripe
51077856,Howard,97,Ribeirão das Neves,artrite
51078633,Fae,97,Ribeirão das Neves,virose
51079410,Thomas,2,Ribeirão das Neves,virose
51080187,Cullen,34,Ribeirão das Neves,virose
51080964,Loraine,86,Betim,artrite
51081741,Drucilla,42,Betim,virose
51082518,Ossie,53,Contagem,catapora
